Time,Bitcoin,Ethereum,Solana,Avalanche,Tether,USD Coin,XRP,Polygon,Chainlink,Binance Coin,Dogecoin,dYdX,Render Token,First Digital USD,Celestia,Thorchain,Cardano,Polkadot,FileCoin,Arbitrum,Gas,Gala,Near,FTX Token,Cosmos,Litecoin,Fantom,yearn.finance,Pepe,PancakeSwap,Sei,Optimism,Worldcoin,Aptos,Mantle,Shiba Inu,Fetch.AI,Arkham,True USD,Binance USD,0x,Injective,Lido DAO,Synthetix,Tellor,TRON,Uniswap Protocol Token,Sui,Terra,Bitcoin Cash,Cronos,Sushi,STEPN,Waves,Maker,Ethereum Classic,Flow,Aave,JOE,The Graph,Monero,Internet Computer,Immutable X,The Sandbox,Private Instant Verified Transaction,Conflux Network,ApeCoin,Amp,BENQI,EOS,Algorand,Blur,Compound Governance Token,Curve DAO Token,Badger DAO,TomoChain,Stellar,OKB,Mask Network,eGold,Stacks,Hedera Hashgraph,Vulcan Forged,Floki Inu,Decentraland,Venus,Mina Protocol,Yield Guild Games,Terra Classic,Storj,SPACE,ARK,Magic,AERGO,Illuvium,Astar,Maverick Protocol,Stargate Finance,MovieBloc,NEO
09:52:01,37448.77,2054.87,66.03,23.65,1.0,1.0,0.651,0.9356,15.07,254.94,0.07945,4.046,3.118,1.0,6.162,6.381,0.3971,5.734,5.224,1.162,9.243,0.02504,1.834,3.745,10.04,73.84,0.3702,12882.91,1.26e-06,2.653,0.1699,1.868,2.401,7.957,0.4706,8.95e-06,0.4402,0.5208,0.9993,1.0,0.5353,17.94,2.452,3.172,90.77,0.1046,5.517,0.6316,0.7851,240.21,0.1024,1.036,0.2532,2.397,1419.07,19.96,0.7113,97.14,0.4297,0.1381,162.69,4.723,1.203,0.4485,0.5754,0.1737,1.49,0.0025,0.009435,0.7369,0.1452,0.3688,57.46,0.6152,4.206,1.201,0.1229,60.49,3.682,48.65,0.6686,0.06339,7.037,3.574e-05,0.456,7.512,0.6442,0.4215,8.403e-05,0.7052,0.3021,1.556,0.6862,0.1878,94.96,0.06931,0.3208,0.5962,0.006243,12.05
10:02:04,37483.25,2054.95,66.01,23.6,1.0,1.0,0.6519,0.9352,15.05,254.74,0.07873,4.046,3.108,1.0,6.136,6.381,0.3973,5.734,5.259,1.169,9.314,0.02496,1.856,3.715,10.06,73.91,0.3702,12876.45,1.26e-06,2.646,0.1699,1.874,2.414,7.938,0.4711,8.93e-06,0.4439,0.5253,0.9993,1.0,0.541,17.83,2.462,3.195,90.76,0.1046,5.536,0.6284,0.784,240.43,0.1024,1.04,0.2534,2.386,1416.08,19.98,0.712,97.69,0.4262,0.1384,162.75,4.717,1.198,0.4509,0.5728,0.1732,1.498,0.00251,0.00941,0.7375,0.1455,0.3685,57.67,0.6156,4.165,1.222,0.1232,60.48,3.761,48.82,0.6682,0.06345,7.019,3.588e-05,0.4578,7.502,0.641,0.4222,8.486e-05,0.704,0.3026,1.583,0.686,0.187,95.29,0.06927,0.3221,,,12.1
10:12:06,37460.57,2052.64,65.71,23.69,1.0,1.0,0.6499,0.932,14.96,254.63,0.07838,4.01,3.109,1.0,6.129,6.395,0.3995,5.774,5.25,1.172,9.305,0.02504,1.841,3.654,10.07,73.97,0.3725,12903.58,1.25e-06,2.666,0.1708,1.864,2.414,7.961,0.4712,8.95e-06,0.4423,0.5236,0.9994,1.0,0.5452,17.82,2.444,3.189,90.95,0.1046,5.535,0.6279,0.7778,239.99,0.1022,1.044,0.2528,2.387,1416.34,19.97,0.712,97.22,0.4301,0.1378,162.44,4.739,1.193,0.4516,0.5961,0.174,1.496,0.00249,0.009192,0.7387,0.1455,0.3681,57.5,0.6163,4.159,1.219,0.1229,60.13,3.721,47.99,0.6702,0.06349,7.023,3.576e-05,0.4601,7.532,0.641,0.4217,8.454e-05,0.7017,0.3031,1.622,0.685,0.1864,95.19,0.06917,0.325,0.5956,,
10:22:07,37373.51,2049.06,65.39,23.68,1.0,1.0,0.6481,0.9271,14.81,254.16,0.07784,3.989,3.075,1.0,6.033,6.349,0.3968,5.703,5.185,1.164,9.185,0.02481,1.822,3.64,10.05,73.66,0.3672,12939.86,1.22e-06,2.658,0.1695,1.849,2.424,7.91,0.4711,8.87e-06,0.4405,0.5204,0.9994,1.0,0.5391,17.7,2.408,3.171,89.8,0.1043,5.489,0.6205,0.7621,238.4,0.1016,1.032,0.251,2.366,1405.78,19.85,0.704,96.44,0.426,0.1369,161.81,4.703,1.184,0.4456,0.5505,0.1714,1.48,0.00243,0.009116,0.7323,0.1444,0.3648,56.88,0.6117,4.115,1.201,0.1226,59.98,3.687,47.55,0.6643,0.06286,7.01,3.544e-05,0.4546,7.452,0.6343,0.4172,8.382e-05,0.6948,0.2988,1.63,0.6756,0.1867,93.98,0.06863,0.322,0.5932,,11.92
10:32:10,37289.75,2044.82,65.0,23.37,1.0,0.9999,0.6436,0.9206,14.7,252.31,0.07695,3.939,3.036,1.0,6.006,6.309,0.3966,5.648,5.166,1.155,9.106,0.02448,1.809,3.649,10.09,73.42,0.3649,12847.8,1.22e-06,2.639,0.1678,1.833,2.421,7.851,0.4696,8.78e-06,0.434,0.5182,0.9994,1.0,0.5392,17.66,2.385,3.172,89.11,0.104,5.465,0.6151,0.7601,237.19,0.1004,1.024,0.2478,2.338,1400.36,19.71,0.6993,95.76,0.4266,0.1357,161.4,4.675,1.176,0.4417,0.5592,0.1697,1.465,0.00242,0.009178,0.7285,0.1426,0.3605,56.36,0.6091,4.109,1.18,0.1217,59.54,3.668,46.91,0.6603,0.06227,6.902,3.515e-05,0.4485,7.391,0.6278,0.4125,8.337e-05,0.6898,0.2966,1.626,0.6695,,93.11,0.06813,0.3191,0.5891,,11.82
10:42:15,37357.68,2046.37,65.46,23.47,1.0,1.0,0.6463,0.9261,14.83,253.21,0.07781,3.983,3.061,1.0,5.97,6.361,0.4058,5.725,5.2,1.162,9.146,0.02477,1.832,3.7,10.13,73.66,0.3697,12964.63,1.22e-06,2.628,0.1692,1.85,2.43,7.917,0.4716,8.88e-06,0.4341,0.52,0.9994,1.0,0.5173,17.78,2.399,3.191,90.24,0.1042,5.528,0.6183,0.7648,238.25,0.1007,1.039,0.2509,2.341,1404.37,19.79,0.7047,96.27,0.4303,0.1366,162.03,4.709,1.187,0.446,0.5805,0.1712,1.481,0.00241,0.00926,0.7332,0.1437,0.3639,57.12,0.6142,4.142,1.202,0.1224,59.86,3.682,47.29,0.6652,0.06291,6.925,3.543e-05,0.4539,7.502,0.6328,0.4145,8.298e-05,0.6948,0.2984,1.635,0.6771,,93.58,0.06853,0.3255,0.5913,,11.91
10:52:18,37370.93,2046.06,65.29,23.48,1.0,1.0,0.6459,0.9242,14.78,253.01,0.07823,3.962,3.039,1.0,5.991,6.357,0.4065,5.766,5.178,1.162,9.11,0.02481,1.815,3.71,10.09,73.62,0.3666,13108.63,1.22e-06,2.634,0.1697,1.846,2.429,7.919,0.4721,8.9e-06,0.4341,0.518,0.9993,1.0,0.5233,17.86,2.392,3.207,90.22,0.1043,5.539,0.618,0.7636,238.13,0.1003,1.043,0.2519,2.343,1404.37,19.83,0.7056,96.39,0.4285,0.1368,162.46,4.712,1.188,0.4456,0.5819,0.1709,1.485,0.0024,0.009182,0.7352,0.1443,0.3655,57.17,0.616,4.145,1.204,0.1223,59.76,3.701,47.31,0.665,0.06296,6.952,3.535e-05,0.4549,7.482,0.6337,0.4137,8.387e-05,0.6956,0.2969,1.634,0.6796,,93.34,0.06853,0.3276,0.5909,,11.9
11:02:20,37307.26,2041.81,64.96,23.09,1.0,0.9999,0.644,0.9198,14.71,251.99,0.07826,3.95,3.004,1.0,5.943,6.35,0.4037,5.708,5.167,1.156,9.006,0.02469,1.802,3.695,9.987,73.49,0.3641,13225.4,1.21e-06,2.62,0.1681,1.836,2.408,7.89,0.4713,8.81e-06,0.4312,0.5131,0.9993,1.0,0.5233,17.58,2.384,3.214,89.53,0.1041,5.549,0.6122,0.7578,237.42,0.1,1.041,0.2496,2.341,1397.25,19.75,0.7023,95.94,0.4263,0.136,161.9,4.69,1.183,0.4431,0.5705,0.17,1.472,0.00234,0.009113,0.7342,0.1444,0.3635,56.82,0.6119,4.118,1.189,0.1221,59.68,3.664,47.15,0.6607,0.06267,6.881,3.514e-05,0.4523,7.452,0.6293,0.4107,8.334e-05,0.6935,0.2941,1.621,0.6747,,92.77,0.0684,0.3273,0.5891,,11.84
11:12:23,37318.11,2042.93,64.97,23.06,1.0,0.9999,0.6434,0.9159,14.73,251.94,0.07846,3.925,2.98,1.0,6.069,6.278,0.3992,5.697,5.152,1.153,8.933,0.02431,1.804,3.696,9.984,73.46,0.3633,13187.28,1.2e-06,2.598,0.1665,1.83,2.429,7.848,0.4711,8.82e-06,0.4323,0.5124,0.9994,1.0,0.522,17.44,2.368,3.179,89.37,0.1039,5.492,0.6066,0.7543,237.19,0.09926,1.032,0.2482,2.313,1393.33,19.69,0.6983,95.59,0.4244,0.1356,161.34,4.672,1.176,0.4412,0.5686,0.1692,1.469,0.00236,0.008972,0.7282,0.1434,0.3601,56.32,0.6085,4.069,1.178,0.1219,59.63,3.661,46.69,0.6587,0.06247,6.837,3.507e-05,0.4498,7.472,0.626,0.407,8.289e-05,0.6889,0.2939,1.649,0.6707,,92.35,0.06789,0.3276,0.5889,,
11:22:28,37412.98,2044.9,65.08,23.33,1.0,1.0,0.6448,0.9174,14.78,252.04,0.07862,3.908,3.003,1.0,5.995,6.351,0.4026,5.733,5.164,1.156,8.967,0.02441,1.8,3.691,9.965,73.41,0.3642,13277.35,1.21e-06,2.597,0.1678,1.833,2.426,7.84,0.4714,8.82e-06,0.4348,0.511,0.9994,1.0,0.5256,17.44,2.368,3.214,89.68,0.1042,5.496,0.6116,0.7606,237.42,0.09967,1.041,0.2488,2.333,1399.7,19.76,0.7026,95.63,0.4232,0.1357,161.62,4.685,1.18,0.4424,0.5705,0.1696,1.473,0.00236,0.009078,0.7315,0.1437,0.3606,56.23,0.609,4.112,1.181,0.1222,59.69,3.678,46.79,0.6627,0.06244,6.872,3.518e-05,0.4509,7.503,0.6296,0.4075,8.244e-05,0.692,0.2938,1.634,0.6734,,92.77,0.06826,0.3289,0.5885,,
